filename,path,description,data_type,exists,start_date,end_date,rows,fields,has_price,has_volume,has_fee,has_cash,has_asset,has_positions,trade_level_attribution,evidence_level,notes
first_divergence.json,research/local_port_v0/task_003/first_divergence.json,first divergence 003,first_divergence,True,2026-05-14,2026-05-14,1,"first_divergence_date,first_divergence_time,security,field,jq_value,local_value,jq_previous_state,local_previous_state,jq_current_event,local_current_event",False,False,False,False,False,False,False,B,
jq_trades_2025.csv,research/local_port_v0/task_004/jq_trades_2025.csv,JQ trades 2025 (004),jq_trades_004,True,2025-01-02,2025-12-29,645,"trade_date,code,side,quantity,price,commission",True,True,True,False,False,False,False,B,
local_trades_2025.csv,research/local_port_v0/task_004/local_trades_2025.csv,local trades 2025 (004),local_trades_004,True,,,133,"time,code,amount,price,commission,tax,trade_id,order_id",True,True,True,False,False,False,False,B,
local_trades_2025_v2.csv,research/local_port_v0/task_004/local_trades_2025_v2.csv,local trades 2025 v2 (004),local_trades_004_v2,True,,,641,"time,code,amount,price,commission,tax,trade_id,order_id",True,True,True,False,False,False,False,B,
TASK_004_REPORT.md,research/local_port_v0/task_004/TASK_004_REPORT.md,004 report,report,True,2025-01-01,2026-07-01,79,markdown report,False,False,False,False,False,False,False,C,
task_003d1_report.md,research/local_port_v0/task_003d/task_003d1_report.md,003d1 report,report,True,2026-05-13,2026-05-14,150,markdown report,False,False,False,False,False,False,False,C,
order_result_comparison.csv,research/local_port_v0/task_003d/order_result_comparison.csv,order result comparison 003d,order_comparison,True,2026-05-14,2026-05-14,4,"date,security,field,jq_value,local_value,is_equal",False,False,False,False,True,False,False,B,
task_003e_report.md,research/local_port_v0/task_003e/task_003e_report.md,003e report,report,True,2026-05-06,2026-05-26,154,markdown report,False,False,False,False,False,False,False,C,
trade_alignment_after_fix.csv,research/local_port_v0/task_003e/trade_alignment_after_fix.csv,trade alignment after fix 003e,trade_alignment,True,2026-05-06,2026-06-23,112,"date,security,side,jq_quantity,local_quantity,jq_price,local_price,alignment",True,True,False,False,False,False,False,B,
task_003f_report.md,research/local_port_v0/task_003f/task_003f_report.md,003f report,report,True,2026-05-25,2026-05-26,81,markdown report,False,False,False,False,False,False,False,C,
equity.csv,research/local_port_v0/task_005_optimize/runs/r3_full_2020_202605_research/equity.csv,r3 full equity,local_equity,True,2020-01-02,2026-05-28,1549,"date,value",False,False,False,False,True,False,False,A,
trades.csv,research/local_port_v0/task_005_optimize/runs/r3_full_2020_202605_research/trades.csv,r3 full trades,local_trades,True,,,5005,"time,code,amount,price,commission,tax,trade_id,order_id",True,True,True,False,False,False,False,B,
manifest.json,research/local_port_v0/task_005_optimize/runs/r3_full_2020_202605_research/manifest.json,r3 full manifest,manifest,True,2026-07-04,2026-07-04,1,"tag,strategy_sha256,strategy_path,run_timestamp,initial_cash,start_date,end_date,frequency,local_quant_branch,local_quant_commit",False,False,False,False,False,False,False,B,
performance_report.json,research/local_port_v0/task_005_optimize/runs/r3_full_2020_202605_research/performance_report.json,r3 full perf report,perf_report,True,2020-01-01,2020-01-01,1,"tag,engine_mode,start_date,end_date,initial_cash,equity_metrics,trade_flow_metrics,closed_trade_metrics,open_position_metrics,execution_quality",False,False,False,False,False,False,False,B,
closed_trades.csv,research/local_port_v0/task_005_optimize/runs/r3_full_2020_202605_research/closed_trades.csv,r3 full closed trades,closed_trades,True,,,4537,"code,open_date,close_date,quantity,buy_price,sell_price,gross_pnl,gross_return,holding_days",True,True,False,False,False,False,False,A,
yearly_summary.csv,research/local_port_v0/task_005_optimize/runs/r3_full_2020_202605_research/yearly_summary.csv,r3 full yearly,yearly,True,,,7,"tag,year,year_return,year_max_drawdown,year_max_drawdown_start,year_max_drawdown_end,year_trading_days,year_fills,year_buy_fills,year_sell_fills,year_gross_turnover,year_annualized_turnover,year_closed_trades,year_win_rate,year_expectancy",False,False,False,False,False,False,False,A,
performance_report.json,research/local_port_v0/task_005_optimize/runs/r4_full_2020_202605_jq_parity/performance_report.json,r4 full perf report,perf_report,True,2020-01-01,2020-01-01,1,"tag,engine_mode,start_date,end_date,initial_cash,equity_metrics,trade_flow_metrics,closed_trade_metrics,open_position_metrics,execution_quality",False,False,False,False,False,False,False,B,
微盘股-母版-20260627.py,微盘股-母版-20260627.py,mother strategy source,strategy,True,n/a,n/a,343,python source,False,False,False,False,False,False,False,C,
BASELINE_MANIFEST.json,research/local_migration/BASELINE_MANIFEST.json,baseline manifest,manifest,True,2026-06-27,2026-06-27,1,"strategy_repository,strategy_branch,strategy_commit,strategy_file,strategy_sha256,local_quant_repository,local_quant_branch,local_quant_commit,python_version,platform",False,False,False,False,False,False,False,B,
